Product,"Platform - Facebook, etc.","Main touchpoint - Seasonality, Topicality, Current Trends",Seasonality,"Tonality - Formal, Informal, Infornmational, Motivational, Humorous",Communication Objective,Target Audience,Word/character limit (based on platform),prompt,completion
Lion's Mane Shroom Coffee,Blogs,Seasonality,January ,Formal,Traffic,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for a Blog campaign for the month of January, focusing on Traffic.","Write a blog post titled ""Start Your Year with Focus: The Benefits of Lion’s Mane Shroom Coffee"". Include keywords, link to the product page, and promote it via social channels."
Lion's Mane Shroom Coffee,Instagram,Seasonality,January ,Informal,Traffic,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for an Instagram posts campaign for the month of January, focusing on Traffic.","Share a series of Instagram Stories titled ""Morning Rituals Reimagined,"" featuring influencers demonstrating their morning routines with Lion’s Mane Shroom Coffee. Use swipe-up links to drive traffic to the website and include interactive polls and Q&A sessions.
"
Lion's Mane Shroom Coffee,Facebook,Seasonality,January ,Informational,Traffic,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for a Facebook posts campaign for the month of January, focusing on Traffic.","Share an engaging article titled ""Discover the Magic of Lion’s Mane Shroom Coffee,"" with a direct link to the product page. Boost the post to reach a broader audience and include eye-catching visuals and an interactive poll.
"
Lion's Mane Shroom Coffee,Whatsapp,Seasonality,January ,Motivational,Traffic,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for a WhatsApp forwards campaign for the month of January, focusing on Traffic.","Create an engaging message template that users can forward, sharing a link to an in-depth article, ""The Power of Lion’s Mane Shroom Coffee,"" with interesting facts and benefits. Include a catchy intro and a call-to-action."
Lion's Mane Shroom Coffee,Email,Seasonality,January ,Humorous,Traffic,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for an Email campaign for the month of January, focusing on Traffic.","Send a visually stunning email newsletter, ""Transform Your 2024 with Lion’s Mane Shroom Coffee,"" featuring interactive elements like a clickable infographic and a direct link to the blog and product page. Include engaging content and a strong call-to-action."
,,,,,,,,,
Lion's Mane Shroom Coffee,Blogs,Seasonality,January ,Formal,Awareness,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for a Blog campaign for the month of January, focusing on Awareness.","Write a New Year’s resolution-themed blog post, ""Transform Your Mornings in 2024 with Lion’s Mane Shroom Coffee,"" featuring inspiring real-life stories and testimonials. Include a section where readers can submit their own resolutions for a chance to be featured in future posts."
Lion's Mane Shroom Coffee,Instagram,Seasonality,January ,Informal,Awareness,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for an Instagram posts campaign for the month of January, focusing on Awareness.","Post a vibrant video series, ""New Year, New Brew,"" showcasing different ways to enjoy Lion’s Mane Shroom Coffee, from classic brews to creative recipes. Partner with popular influencers to reach a wider audience and use hashtags like #NewYearNewBrew."
Lion's Mane Shroom Coffee,Facebook,Seasonality,January ,Informational,Awareness,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for a Facebook posts campaign for the month of January, focusing on Awareness.","Post a New Year’s themed infographic, ""10 Benefits of Lion’s Mane Shroom Coffee for 2024,"" featuring vibrant graphics and easy-to-digest information. Encourage followers to share the post with their friends and family."
Lion's Mane Shroom Coffee,Whatsapp,Seasonality,January ,Humorous,Awareness,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for a WhatsApp forwards campaign for the month of January, focusing on Awareness.","Design a visually appealing WhatsApp-friendly infographic, ""New Year, New You with Lion’s Mane Shroom Coffee,"" that users can easily forward to their contacts. Add a brief explanation and a call-to-action to learn more.
"
Lion's Mane Shroom Coffee,Email,Seasonality,January ,Humorous,Awareness,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for an Email campaign for the month of January, focusing on Awareness.","Craft a New Year’s resolution-themed email, ""Achieve Your Goals with Lion’s Mane Shroom Coffee,"" featuring success stories and testimonials from users. Encourage recipients to share their resolutions and experiences for a chance to be featured."
,,,,,,,,,
Lion's Mane Shroom Coffee,Blogs,Seasonality,January ,Formal,Engagement,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for a Blog campaign for the month of January, focusing on Engagement.","Launch a blog series called ""Morning Makeovers,"" featuring weekly posts with user-generated content and personal stories on how Lion’s Mane Shroom Coffee has transformed their daily routines. Encourage readers to comment and share their own experiences for a chance to win a monthly giveaway.
"
Lion's Mane Shroom Coffee,Instagram,Seasonality,January ,Formal,Engagement,,,"Give me a marketing idea in a maximum of 3 lines for Aceblend’s Lion’s mane shroom coffee, for an Instagram posts campaign for the month of January, focusing on Engagement.","Run an Instagram contest, ""Show Us Your #ShroomMorning,"" asking followers to share photos or videos of their morning routines with the coffee. Offer a month’s supply of coffee as a prize and feature the best entries in your Stories and main feed."
