Topicality,prompt,Keywords,,,,
Diwali,"Create a comprehensive marketing strategy for a product launch that aligns with the consumer behavior trends and key attributes of Diwali, the festival of lights, which is celebrated with fireworks, sweets, and family gatherings. The strategy should detail promotional activities, target audience, messaging, and product placement ideas, focusing on products related to fireworks, sweets, and festive decorations.","Festival of lights, celebrated with fireworks, sweets, and family gatherings. ",,,,
Holi,"Develop a comprehensive marketing strategy for a product launch that aligns with the consumer behavior trends and key attributes of Holi, the festival of colors, which is celebrated with color throwing, music, and dance. The strategy should detail promotional activities, target audience, messaging, and product placement ideas, focusing on products related to colors, festive clothing, music and dance accessories, and party supplies.","Festival of colors, celebrated with color throwing, music, and dance.",,,,
Eid-ul-Fitr,"Develop a comprehensive marketing strategy for a product launch that aligns with the consumer behavior trends and key attributes of Eid-ul-Fitr, an important Muslim festival marked by feasting and prayers. The strategy should detail promotional activities, target audience, messaging, and product placement ideas, focusing on products related to festive foods, traditional clothing, gifts, and home decor.",Important Muslim festival marked by feasting and prayers.,,,,
Eid-ul-Adha,"Develop a comprehensive marketing strategy for a product launch that aligns with the consumer behavior trends and key attributes of Eid-ul-Adha, an important Muslim festival marked by feasting and prayers. The strategy should detail promotional activities, target audience, messaging, and product placement ideas, focusing on products related to festive foods, traditional clothing, gifts, and home decor.",Important Muslim festival marked by feasting and prayers.,,,,
Navratri,"Develop a comprehensive marketing strategy for a product launch that aligns with the consumer behavior trends and key attributes of Navratri, a festival celebrating the victory of good over evil, involving fasting and cultural performances. The strategy should detail promotional activities, target audience, messaging, and product placement ideas, focusing on products related to fasting foods, traditional clothing, cultural performance accessories, and home decor.","Festival celebrating the victory of good over evil, involving fasting and cultural performances.",,,,
Dussehra,"Create a comprehensive marketing strategy for a product launch that aligns with the consumer behavior trends and key attributes of Dussehra, a festival celebrating the victory of good over evil, involving fasting and cultural performances. The strategy should detail promotional activities, target audience, messaging, and product placement ideas, focusing on products related to fasting foods, traditional clothing, cultural performance accessories, and home decor.
","Festival celebrating the victory of good over evil, involving fasting and cultural performances.",,,,
Ganesh Chaturthi,"Develop a comprehensive marketing strategy for a product launch that aligns with the consumer behavior trends and key attributes of Ganesh Chaturthi, a festival honoring the elephant-headed God Ganesha, involving processions and idol immersion. The strategy should detail promotional activities, target audience, messaging, and product placement ideas, focusing on products related to idols, traditional clothing, decorations, and festive foods.","Festival honoring the elephant-headed god Ganesha, with processions and idol immersion",,,,
Durga Puja,"Develop a comprehensive marketing strategy for a product launch that aligns with the consumer behavior trends and key attributes of Durga Puja, a major festival in West Bengal celebrating goddess Durga with elaborate pandals and cultural events. The strategy should detail promotional activities, target audience, messaging, and product placement ideas, focusing on products related to traditional clothing, decorations, cultural performance accessories, and festive foods.","Major festival in Bengal, celebrating goddess Durga with elaborate pandals and cultural events",,,,
Christmas,"Develop a comprehensive marketing strategy for a product launch that aligns with the consumer behavior trends and key attributes of Christmas, a festival celebrated by Christians and many others with decorations, gifts, and feasts. The strategy should detail promotional activities, target audience, messaging, and product placement ideas, focusing on products related to holiday decorations, gifts, festive foods, and winter clothing.","Celebrated by Christians and many others with decorations, gifts, and feasts",,,,
Independence Day,"Develop a comprehensive marketing strategy for a product launch that aligns with the consumer behavior trends and key attributes of Independence Day, a celebration with parades, flag hoisting, and patriotic events. The strategy should detail promotional activities, target audience, messaging, and product placement ideas, focusing on products related to patriotism, outdoor activities, and family gatherings.","Celebrations with parades, flag hoisting, and patriotic events",,,,
Republic Day,"Craft a comprehensive marketing strategy for a product launch that aligns with the consumer behavior trends and key attributes of Republic Day, marked by a grand parade in New Delhi showcasing India's cultural and military heritage. The strategy should detail promotional activities, target audience, messaging, and product placement ideas, focusing on products related to patriotism, cultural heritage, and celebration.",Marked by a grand parade in New Delhi showcasing India's cultural and military heritage,,,,
